Godot Engine v4.6.1.stable.official.14d19694e - https://godotengine.org
Metal 4.0 - Forward+ - Using Device #0: Apple - Apple M5 (Apple9)

[PythonBridge] Listening on port 9090
[ag-race] Reset | Seed: 42 | Config: AG-RACE-v1-3786589023 | Agents: 2 | Track hash: 346025456 | Events hash: 515628646
[PythonBridge] Client connected from 127.0.0.1
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
[ag-race] Reset | Seed: 0 | Config: AG-RACE-v1-1932862701 | Agents: 2 | Track hash: 2439698640 | Events hash: 4042909520
