Seed,Ronda,Coche,Color,Terminado,Progreso_Pct,Tiempo_Lap_Ticks,Puntaje_Final,Ganador
100,1,1,"(255, 0, 0)",True,100.0,223,369.84,True
100,1,2,"(0, 0, 255)",False,99.69,222,324,False
100,1,3,"(0, 255, 255)",False,98.46,222,320,False
100,1,4,"(255, 165, 0)",False,98.77,222,321,False
100,1,5,"(0, 128, 0)",False,98.46,222,320,False
101,2,1,"(255, 0, 0)",True,100.0,235,442.55,True
101,2,2,"(0, 0, 255)",False,25.25,113,101,False
101,2,3,"(0, 255, 255)",False,25.5,112,102,False
101,2,4,"(255, 165, 0)",False,25.75,111,103,False
101,2,5,"(0, 128, 0)",False,25.25,113,101,False
102,3,1,"(255, 0, 0)",True,102.15,242,373.32,True
102,3,2,"(0, 0, 255)",False,93.85,241,305,False
102,3,3,"(0, 255, 255)",False,93.85,241,305,False
102,3,4,"(255, 165, 0)",False,66.46,241,216,False
102,3,5,"(0, 128, 0)",False,93.85,241,305,False
103,4,1,"(255, 0, 0)",False,74.82,317,318,False
103,4,2,"(0, 0, 255)",True,101.65,359,459.86,True
103,4,3,"(0, 255, 255)",False,49.18,206,209,False
103,4,4,"(255, 165, 0)",False,45.88,193,195,False
103,4,5,"(0, 128, 0)",False,45.88,191,195,False
104,5,1,"(255, 0, 0)",True,100.0,237,342.19,True
104,5,2,"(0, 0, 255)",False,94.67,236,284,False
104,5,3,"(0, 255, 255)",False,95.0,236,285,False
104,5,4,"(255, 165, 0)",False,95.0,236,285,False
104,5,5,"(0, 128, 0)",False,94.67,236,284,False
105,6,1,"(255, 0, 0)",False,98.0,239,392,False
105,6,2,"(0, 0, 255)",False,98.0,239,392,False
105,6,3,"(0, 255, 255)",False,98.75,239,395,False
105,6,4,"(255, 165, 0)",False,98.5,239,394,False
105,6,5,"(0, 128, 0)",True,100.25,239,442.84,True
106,7,1,"(255, 0, 0)",False,97.65,232,415,False
106,7,2,"(0, 0, 255)",True,101.88,232,476.1,True
106,7,3,"(0, 255, 255)",False,97.65,231,415,False
106,7,4,"(255, 165, 0)",False,97.65,231,415,False
106,7,5,"(0, 128, 0)",False,65.88,231,280,False
107,8,1,"(255, 0, 0)",False,99.69,230,324,False
107,8,2,"(0, 0, 255)",True,100.0,230,368.48,True
107,8,3,"(0, 255, 255)",False,99.38,229,323,False
107,8,4,"(255, 165, 0)",False,99.38,229,323,False
107,8,5,"(0, 128, 0)",False,99.38,229,323,False
108,9,1,"(255, 0, 0)",False,75.38,186,245,False
108,9,2,"(0, 0, 255)",True,100.62,186,380.76,True
108,9,3,"(0, 255, 255)",False,75.38,185,245,False
108,9,4,"(255, 165, 0)",False,75.08,185,244,False
108,9,5,"(0, 128, 0)",False,74.77,185,243,False
109,10,1,"(255, 0, 0)",True,100.0,279,385.84,True
109,10,2,"(0, 0, 255)",False,98.86,278,346,False
109,10,3,"(0, 255, 255)",False,98.57,278,345,False
109,10,4,"(255, 165, 0)",False,98.57,278,345,False
109,10,5,"(0, 128, 0)",False,98.57,278,345,False
110,11,1,"(255, 0, 0)",False,32.0,145,120,False
110,11,2,"(0, 0, 255)",True,102.4,263,422.02,True
110,11,3,"(0, 255, 255)",False,32.27,144,121,False
110,11,4,"(255, 165, 0)",False,97.33,262,365,False
110,11,5,"(0, 128, 0)",False,31.73,145,119,False
111,12,1,"(255, 0, 0)",False,94.67,215,426,False
111,12,2,"(0, 0, 255)",False,94.89,215,427,False
111,12,3,"(0, 255, 255)",False,94.67,215,426,False
111,12,4,"(255, 165, 0)",True,102.67,215,508.51,True
111,12,5,"(0, 128, 0)",False,94.0,214,423,False
112,13,1,"(255, 0, 0)",False,21.6,84,81,False
112,13,2,"(0, 0, 255)",False,98.4,261,369,False
112,13,3,"(0, 255, 255)",True,100.27,261,414.31,True
112,13,4,"(255, 165, 0)",False,97.87,260,367,False
112,13,5,"(0, 128, 0)",False,99.47,260,373,False
113,14,1,"(255, 0, 0)",False,98.33,210,295,False
113,14,2,"(0, 0, 255)",True,100.0,210,347.62,True
113,14,3,"(0, 255, 255)",False,99.0,209,297,False
113,14,4,"(255, 165, 0)",False,78.33,209,235,False
113,14,5,"(0, 128, 0)",False,78.67,209,236,False
114,15,1,"(255, 0, 0)",False,98.46,224,320,False
114,15,2,"(0, 0, 255)",False,98.77,224,321,False
114,15,3,"(0, 255, 255)",False,98.15,224,319,False
114,15,4,"(255, 165, 0)",False,97.85,224,318,False
114,15,5,"(0, 128, 0)",True,100.0,224,369.64,True
115,16,1,"(255, 0, 0)",True,100.22,250,491.0,True
115,16,2,"(0, 0, 255)",False,49.11,206,221,False
115,16,3,"(0, 255, 255)",False,99.56,249,448,False
115,16,4,"(255, 165, 0)",False,93.11,247,419,False
115,16,5,"(0, 128, 0)",False,93.56,247,421,False
116,17,1,"(255, 0, 0)",False,66.67,200,300,False
116,17,2,"(0, 0, 255)",False,68.0,195,306,False
116,17,3,"(0, 255, 255)",False,99.11,249,446,False
116,17,4,"(255, 165, 0)",True,100.0,249,490.16,True
116,17,5,"(0, 128, 0)",False,99.33,248,447,False
117,18,1,"(255, 0, 0)",True,100.62,237,369.19,True
117,18,2,"(0, 0, 255)",False,97.85,236,318,False
117,18,3,"(0, 255, 255)",False,97.85,236,318,False
117,18,4,"(255, 165, 0)",False,97.85,236,318,False
117,18,5,"(0, 128, 0)",False,97.85,236,318,False
118,19,1,"(255, 0, 0)",False,1.65,21,7,False
118,19,2,"(0, 0, 255)",False,98.12,225,417,False
118,19,3,"(0, 255, 255)",True,104.0,225,486.44,True
118,19,4,"(255, 165, 0)",False,1.65,20,7,False
118,19,5,"(0, 128, 0)",False,1.65,21,7,False
119,20,1,"(255, 0, 0)",False,76.57,179,268,False
119,20,2,"(0, 0, 255)",False,76.86,179,269,False
119,20,3,"(0, 255, 255)",False,77.71,179,272,False
119,20,4,"(255, 165, 0)",True,104.29,179,420.87,True
119,20,5,"(0, 128, 0)",False,77.43,178,271,False
120,21,1,"(255, 0, 0)",False,99.75,252,399,False
120,21,2,"(0, 0, 255)",True,100.0,252,439.68,True
120,21,3,"(0, 255, 255)",False,98.5,251,394,False
120,21,4,"(255, 165, 0)",False,98.5,251,394,False
120,21,5,"(0, 128, 0)",False,99.25,251,397,False
121,22,1,"(255, 0, 0)",True,100.33,233,343.92,True
121,22,2,"(0, 0, 255)",False,92.67,232,278,False
121,22,3,"(0, 255, 255)",False,93.0,232,279,False
121,22,4,"(255, 165, 0)",False,92.67,232,278,False
121,22,5,"(0, 128, 0)",False,93.0,232,279,False
122,23,1,"(255, 0, 0)",True,100.0,254,439.37,True
122,23,2,"(0, 0, 255)",False,99.25,253,397,False
122,23,3,"(0, 255, 255)",False,99.75,253,399,False
122,23,4,"(255, 165, 0)",False,99.75,253,399,False
122,23,5,"(0, 128, 0)",False,99.75,253,399,False
123,24,1,"(255, 0, 0)",True,106.33,198,369.51,True
123,24,2,"(0, 0, 255)",False,58.0,159,174,False
123,24,3,"(0, 255, 255)",False,58.33,158,175,False
123,24,4,"(255, 165, 0)",False,58.33,159,175,False
123,24,5,"(0, 128, 0)",False,97.0,197,291,False
124,25,1,"(255, 0, 0)",True,100.0,215,396.51,True
124,25,2,"(0, 0, 255)",False,98.86,214,346,False
124,25,3,"(0, 255, 255)",False,97.71,214,342,False
124,25,4,"(255, 165, 0)",False,98.0,214,343,False
124,25,5,"(0, 128, 0)",False,98.57,214,345,False
125,26,1,"(255, 0, 0)",False,59.69,239,194,False
125,26,2,"(0, 0, 255)",True,100.0,239,366.84,True
125,26,3,"(0, 255, 255)",False,99.38,238,323,False
125,26,4,"(255, 165, 0)",False,99.08,238,322,False
125,26,5,"(0, 128, 0)",False,97.85,238,318,False
126,27,1,"(255, 0, 0)",True,100.5,232,445.1,True
126,27,2,"(0, 0, 255)",False,61.0,143,244,False
126,27,3,"(0, 255, 255)",False,99.75,231,399,False
126,27,4,"(255, 165, 0)",False,99.25,231,397,False
126,27,5,"(0, 128, 0)",False,99.0,231,396,False
127,28,1,"(255, 0, 0)",False,53.33,240,240,False
127,28,2,"(0, 0, 255)",False,53.56,240,241,False
127,28,3,"(0, 255, 255)",False,4.89,153,22,False
127,28,4,"(255, 165, 0)",False,4.89,146,22,False
127,28,5,"(0, 128, 0)",True,103.11,240,505.67,True
128,29,1,"(255, 0, 0)",False,53.56,242,241,False
128,29,2,"(0, 0, 255)",False,53.56,242,241,False
128,29,3,"(0, 255, 255)",True,103.11,242,505.32,True
128,29,4,"(255, 165, 0)",False,53.56,241,241,False
128,29,5,"(0, 128, 0)",False,53.56,241,241,False
129,30,1,"(255, 0, 0)",False,98.75,247,395,False
129,30,2,"(0, 0, 255)",True,100.0,247,440.49,True
129,30,3,"(0, 255, 255)",False,99.0,246,396,False
129,30,4,"(255, 165, 0)",False,97.5,246,390,False
129,30,5,"(0, 128, 0)",False,99.0,246,396,False
