generation,best_fitness,avg_progress,seed,weights_json
1,94.00,42.90,1,"[[[0.6681435108184814, -0.5689728260040283, 0.6332091093063354, -0.5390569567680359, -0.16644054651260376], [-0.39617565274238586, 0.09457743167877197, -0.4144955277442932, 0.4927353858947754, -0.26464611291885376], [-0.08985388278961182, 0.40139079093933105, -0.6357736587524414, 0.06268531084060669, -0.6730908751487732], [0.2522331476211548, -0.7682492733001709, 0.6592721939086914, -0.27555322647094727, -0.08424395322799683], [-0.5805646777153015, -0.21189910173416138, -0.7452544569969177, 0.7301645278930664, 0.033167481422424316]], [0.0, 0.0, 0.0, 0.0, 0.0], [[0.010585248470306396, 0.18419259786605835, -0.4414377510547638], [0.6082993149757385, -0.41939929127693176, 0.6983963847160339], [-0.680830180644989, 0.3785555958747864, 0.4103221297264099], [-0.49726200103759766, -0.11227267980575562, -0.41106608510017395], [0.11525869369506836, 0.7049371600151062, 0.35830456018447876]], [0.0, 0.0, 0.0], [[0.990720272064209, -0.03889203071594238, 0.6339325904846191], [0.39676713943481445, 0.5067605972290039, -0.22709155082702637], [0.5696985721588135, 0.49875736236572266, 0.8429903984069824]], [0.0, 0.0, 0.0], [[0.20359647274017334, 0.36448514461517334], [-0.06328678131103516, 0.017956018447875977], [-0.5754562020301819, 0.0014886856079101562]], [0.0, 0.0]]"
2,129.00,27.40,2,"[[[1.3726356029510498, 0.2941989004611969, -0.3888917863368988, -1.6133527755737305, 1.1020958423614502], [0.395003080368042, -0.031461361795663834, -0.00460135517641902, 0.5760471224784851, -0.45918095111846924], [0.37866172194480896, 0.1308552324771881, 0.24254190921783447, 1.3564003705978394, 0.17757746577262878], [-0.29372137784957886, 0.5305426716804504, 0.6519490480422974, -0.361936092376709, 0.3072282671928406], [0.6629076600074768, -0.43110382556915283, -1.975534200668335, 0.2253720909357071, 0.2488379031419754]], [-1.7480193376541138, 1.0243886709213257, 0.6353453993797302, -0.5284970998764038, -1.4308810234069824], [[-0.5961045026779175, -0.6537426114082336, -0.27399179339408875], [0.6846550703048706, 1.3346030712127686, -1.0435285568237305], [-2.166790008544922, -0.6266959309577942, -0.19639363884925842], [0.8143514394760132, -0.9033374786376953, -0.04576949030160904], [-0.06517557054758072, -0.09353618323802948, 1.1201181411743164]], [-0.31467366218566895, 0.03345825523138046, 0.644868791103363], [[1.3982120752334595, -0.8831539154052734, -0.7402660250663757], [-0.5097646117210388, 1.2136399745941162, 0.05349977687001228], [0.19375093281269073, -0.21583986282348633, 1.760667085647583]], [0.09122686833143234, 0.2622123956680298, 0.11774909496307373], [[-1.4483146667480469, -0.7327609062194824], [-1.5231423377990723, 1.9021024703979492], [-0.25996243953704834, 0.8443049192428589]], [0.813032865524292, 0.10530239343643188]]"
3,345.55,20.30,3,"[[[-0.4561167359352112, 1.4067187309265137, 1.504745364189148, -0.6160523295402527, -1.527001976966858], [0.645577609539032, 1.4787739515304565, 2.188159465789795, 0.2261238545179367, -0.9744797945022583], [-1.2243297100067139, -1.9067397117614746, 1.5679044723510742, 0.05549849942326546, 0.48794877529144287], [0.1364521086215973, 1.5615911483764648, -1.5228215456008911, 0.9646793603897095, 1.2741425037384033], [0.03267081081867218, -0.5877372026443481, -1.0062366724014282, -1.220699667930603, 0.11496968567371368]], [1.4884730577468872, 0.8238412141799927, -1.7847263813018799, 0.5734797120094299, 0.8031376600265503], [[0.3505406379699707, 0.2432260364294052, -0.48930978775024414], [1.1584385633468628, -1.2952404022216797, 1.0612512826919556], [2.1248116493225098, -2.007176399230957, -0.716019868850708], [-0.43744614720344543, 1.7990487813949585, 0.46722257137298584], [-1.3549238443374634, 0.7572957873344421, -2.2632923126220703]], [-1.2504483461380005, 0.33651748299598694, 0.5228301882743835], [[-0.35092073678970337, -1.362483024597168, 0.13203227519989014], [1.2433884143829346, 0.10094952583312988, 0.20267002284526825], [-1.4303375482559204, -0.44037118554115295, 1.2750259637832642]], [0.8017755150794983, 1.4485068321228027, -1.0866913795471191], [[2.171706438064575, 0.833813488483429], [-0.17798666656017303, 0.7912552356719971], [-0.21961013972759247, 2.264573812484741]], [-1.0354647636413574, -2.5445053577423096]]"
4,353.21,22.07,4,"[[[-1.4159687757492065, 1.332436203956604, 0.5881385803222656, -0.3839704990386963, -2.4454843997955322], [-0.3982776701450348, 1.9463677406311035, 1.9481257200241089, 0.1143430843949318, -0.5057495832443237], [-0.9004140496253967, -2.442054033279419, 3.3808693885803223, 0.13648681342601776, 1.149693489074707], [0.059521108865737915, 1.3610292673110962, -2.2765791416168213, 0.830575168132782, 1.4166370630264282], [0.09529890865087509, -0.19678804278373718, -1.2795823812484741, -0.7041580080986023, -0.56277996301651]], [1.310575246810913, 1.2149932384490967, -1.8255316019058228, 0.6484717726707458, 1.5674703121185303], [[0.20987015962600708, 0.8388240933418274, -1.236777901649475], [2.086967706680298, -1.703711748123169, 0.057875774800777435], [1.047656536102295, -2.3769612312316895, -0.21506591141223907], [-0.42172491550445557, 1.979294776916504, -0.05145993083715439], [-0.3088192641735077, -0.5435436367988586, -2.4297573566436768]], [-1.028983235359192, 0.5554537773132324, 1.241415023803711], [[-0.6232863068580627, -2.5221478939056396, -0.3516222834587097], [0.3027825355529785, 0.15249869227409363, -0.28240031003952026], [-2.591761350631714, -0.7992600798606873, 2.693800449371338]], [1.0979030132293701, 1.6629537343978882, -2.367387533187866], [[2.2897868156433105, 0.04852224513888359], [1.252537488937378, 0.9379149675369263], [-0.6534475088119507, 0.9445453882217407]], [-1.300155520439148, -2.4896278381347656]]"
5,427.04,50.07,5,"[[[0.2790219783782959, 1.0048798322677612, -0.8813310265541077, -1.4917035102844238, 2.087879180908203], [-0.8225568532943726, 0.8270650506019592, -0.41380545496940613, -0.07392220944166183, 1.06059730052948], [0.02343810349702835, 1.3878390789031982, -1.0416158437728882, -1.296423077583313, -0.6360290050506592], [-0.8442226648330688, 2.032471179962158, -0.9322214722633362, -0.22033080458641052, -0.6855562329292297], [2.6935510635375977, 0.3275502026081085, -1.8967067003250122, -0.49738502502441406, 1.4200184345245361]], [-3.1585214138031006, 0.915898323059082, -1.0672954320907593, -0.28803861141204834, -1.042819857597351], [[-2.3911709785461426, 0.37546148896217346, 0.7937980890274048], [1.313876986503601, 1.4601433277130127, -1.8611482381820679], [0.13646362721920013, 1.820186734199524, -1.330024003982544], [3.4580156803131104, -0.4684857428073883, -0.31568643450737], [0.011146546341478825, 3.5968470573425293, 0.9768507480621338]], [-1.164264440536499, -1.0245749950408936, 0.35308218002319336], [[2.204826593399048, -0.694656491279602, 0.32599663734436035], [0.17935088276863098, 1.114079475402832, -1.0002973079681396], [1.620872139930725, 0.2873266339302063, 4.59589147567749]], [2.916201591491699, 0.5360170602798462, 0.05118494853377342], [[-3.8370814323425293, 0.726899266242981], [-2.561201810836792, 1.85176682472229], [-0.025154707953333855, 0.4606892168521881]], [0.29848068952560425, 0.35061994194984436]]"
6,171.00,17.47,6,"[[[-2.320734977722168, 2.533186197280884, 0.6412901282310486, -0.6582188606262207, -2.4986894130706787], [-0.43258213996887207, 1.3666763305664062, 2.8853979110717773, -0.4465397894382477, -0.5327035188674927], [0.4685446619987488, -2.3069159984588623, 5.438937187194824, -0.6064297556877136, 2.3677711486816406], [0.9672336578369141, 0.7914406657218933, -2.230771064758301, -0.6648138165473938, 1.2987865209579468], [0.7546460032463074, -1.3098245859146118, -1.0161603689193726, -0.19824963808059692, 0.7422473430633545]], [1.251854419708252, 2.125200033187866, -0.0890040397644043, 0.5532112717628479, 1.5770255327224731], [[-0.22460319101810455, 1.2256441116333008, -2.8028616905212402], [1.3418711423873901, -2.1639556884765625, -0.5245758295059204], [1.4805889129638672, -3.256016731262207, -0.7608878016471863], [-0.522502601146698, 2.2821266651153564, -0.45020490884780884], [1.0319463014602661, 0.2526405453681946, -1.9252129793167114]], [-0.6458787322044373, 1.4279953241348267, 1.6432507038116455], [[-1.1514211893081665, -2.6803641319274902, 0.29018402099609375], [1.826231598854065, 0.5411231517791748, 0.8311803340911865], [-2.2850887775421143, -0.5041494965553284, 0.014063568785786629]], [1.1009786128997803, 1.7660163640975952, -2.0924413204193115], [[2.390026807785034, 1.1034311056137085], [0.19940364360809326, 2.7072644233703613], [-1.3775012493133545, 1.7415752410888672]], [-0.5995400547981262, -1.6080888509750366]]"
7,303.00,26.67,7,"[[[0.8908279538154602, 0.503551185131073, -0.6765722632408142, -2.3461849689483643, 1.3083076477050781], [-2.104564905166626, 0.06334660947322845, -2.2235891819000244, 0.8487064838409424, 0.9717899560928345], [-0.15476995706558228, 2.0122039318084717, -0.8471242785453796, -1.746931552886963, 0.00479098642244935], [0.06881758570671082, 2.188743829727173, -0.883675754070282, 2.6371045112609863, -0.28893107175827026], [2.7271947860717773, 2.520854949951172, -3.250152826309204, -1.785688042640686, 0.5870447158813477]], [-3.535093307495117, 2.8758418560028076, -0.627994179725647, 0.04938170313835144, -1.3222179412841797], [[-2.104693651199341, 0.3703881502151489, 0.45499107241630554], [1.8303825855255127, -0.3799598813056946, -2.6028802394866943], [2.393073797225952, 3.408452272415161, -1.9837133884429932], [1.863228678703308, 1.6061311960220337, -0.5888319611549377], [-1.9169694185256958, 4.0516180992126465, 1.3007153272628784]], [-2.378030776977539, -1.1627929210662842, 0.6529968976974487], [[2.031545877456665, -2.0040838718414307, 1.7833495140075684], [-0.32482317090034485, 1.0900464057922363, -0.5957893133163452], [3.057678699493408, -1.1692914962768555, 3.9175708293914795]], [1.7702256441116333, 0.4737355411052704, -1.9767889976501465], [[-4.4557085037231445, -0.0804910883307457], [-4.41740608215332, 1.4651905298233032], [0.7275150418281555, -0.3882443904876709]], [0.8375741243362427, -0.36520686745643616]]"
8,43.00,13.03,8,"[[[-0.11148539930582047, 1.2706798315048218, 0.17633625864982605, -3.8459150791168213, 1.9150967597961426], [0.15659216046333313, -1.4902145862579346, -2.0745482444763184, 0.1553652435541153, 1.217667579650879], [1.2482240200042725, 2.320256233215332, -1.6782381534576416, -2.8149921894073486, -0.7800784111022949], [-1.4728899002075195, 3.683100461959839, -1.47409188747406, 1.1186268329620361, -0.22650127112865448], [1.8693383932113647, 1.8981634378433228, -1.2072787284851074, -2.766282081604004, 0.03398141264915466]], [-4.3259429931640625, 1.8279199600219727, -2.4306905269622803, -1.3299167156219482, -0.9291516542434692], [[-1.3889570236206055, 0.8785229325294495, 0.6230534911155701], [-0.5537695288658142, 1.0001007318496704, -0.9728438854217529], [0.8498198390007019, 2.843174934387207, -2.0135176181793213], [2.1976962089538574, -0.4879816770553589, -0.013452920131385326], [-1.708962321281433, 5.728625774383545, 0.8536680936813354]], [-2.784128189086914, 0.34785380959510803, -0.11703812330961227], [[3.5145058631896973, -0.014286315068602562, 1.8829458951950073], [0.72926265001297, 1.6821832656860352, -0.1354002207517624], [1.8763669729232788, -2.3690383434295654, 4.090151786804199]], [2.157780647277832, 2.109687328338623, -0.6129938960075378], [[-6.244783878326416, 0.2859494090080261], [-2.260732650756836, 0.21229709684848785], [0.45386838912963867, 0.13899052143096924]], [1.9124460220336914, -1.2130309343338013]]"
9,423.62,87.00,9,"[[[0.22829781472682953, -0.28134575486183167, -0.6271133422851562, -2.8837103843688965, 2.617678642272949], [-1.8062787055969238, -0.36810973286628723, -3.790053129196167, -0.4817348122596741, 2.6382532119750977], [-1.5164707899093628, 0.6535740494728088, -2.1076467037200928, -3.7198805809020996, -2.040504217147827], [1.1417796611785889, 1.6500014066696167, -1.9535285234451294, 1.5431286096572876, -1.707572340965271], [5.393133163452148, 0.27790796756744385, -1.0408366918563843, -1.2666728496551514, 0.2818746268749237]], [-3.5922768115997314, 4.495779514312744, -1.7973781824111938, -1.1517179012298584, -0.561107873916626], [[-1.975487470626831, -2.5140583515167236, -0.004201569128781557], [-0.016842778772115707, -0.9844228625297546, -0.9350652694702148], [1.1739460229873657, 2.8443992137908936, -1.5262670516967773], [4.049330234527588, -0.7038568258285522, 0.9511800408363342], [-2.333860397338867, 4.9808244705200195, 1.5524863004684448]], [-1.8571498394012451, -1.6235426664352417, 1.24603271484375], [[3.262938976287842, -1.6800251007080078, 1.517508864402771], [0.6874902844429016, 2.267378330230713, 0.7210448980331421], [1.0533907413482666, -2.79120135307312, 4.343338489532471]], [3.1148622035980225, 4.1049065589904785, -1.913008689880371], [[-5.985804080963135, -0.32630759477615356], [-2.3713138103485107, 1.18496572971344], [1.5422435998916626, -1.3015588521957397]], [1.3050388097763062, -0.6854895353317261]]"
10,451.37,42.40,10,"[[[-0.11273978650569916, 1.492777943611145, -0.2112652212381363, -3.968729257583618, 1.8570494651794434], [-0.7559041976928711, -1.3236181735992432, -0.7833438515663147, 0.5552331209182739, 1.465266466140747], [1.1813843250274658, 1.6983263492584229, -3.5092380046844482, -2.7974491119384766, -0.31940141320228577], [-2.5735056400299072, 3.041975975036621, -1.4306310415267944, 1.8759350776672363, -2.238893747329712], [0.49044960737228394, 2.8482766151428223, -1.6386584043502808, -1.907538652420044, 0.5410280823707581]], [-1.6393252611160278, 2.760822296142578, -4.479485988616943, -1.1927754878997803, -1.752845048904419], [[0.4862901270389557, -0.3083590567111969, -0.13699139654636383], [0.47096019983291626, 1.947238564491272, -0.21363498270511627], [0.5417701601982117, 2.6711413860321045, -1.0732388496398926], [3.416426181793213, -0.8233547806739807, -0.27194055914878845], [-2.990487813949585, 7.023982524871826, 0.1425551325082779]], [-2.6283881664276123, -0.30760645866394043, -0.286533921957016], [[3.6389787197113037, -1.7999910116195679, 2.4652397632598877], [2.378077507019043, 1.7736375331878662, 0.0664428174495697], [1.711782693862915, 0.5161489844322205, 3.836393356323242]], [2.9597575664520264, 2.9163074493408203, -0.09302038699388504], [[-7.5850677490234375, -0.11750626564025879], [-2.0200562477111816, -0.12965156137943268], [-0.596294105052948, 0.22810950875282288]], [0.44274836778640747, -0.32494187355041504]]"
